meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2013-09-09,6963
1130211_FD1_L1_EDMI_1_D,2013-09-10,4092
1130211_FD1_L1_EDMI_1_D,2013-09-11,9333
1130211_FD1_L1_EDMI_1_D,2013-09-12,6324
1130211_FD1_L1_EDMI_1_D,2013-09-13,6099
1130211_FD1_L1_EDMI_1_D,2013-09-14,10270
1130211_FD1_L1_EDMI_1_D,2013-09-15,10900
1130211_FD1_L1_EDMI_1_D,2013-09-16,10044
1130211_FD1_L1_EDMI_1_D,2013-09-17,5998
1130211_FD1_L1_EDMI_1_D,2013-09-18,6537
1130211_FD1_L1_EDMI_1_D,2013-09-19,6610
1130211_FD1_L1_EDMI_1_D,2013-09-20,5301
1130211_FD1_L1_EDMI_1_D,2013-09-21,9405
1130211_FD1_L1_EDMI_1_D,2013-09-22,8041
1130211_FD1_L1_EDMI_1_D,2013-09-23,5974
1130211_FD1_L1_EDMI_1_D,2013-09-24,6939
1130211_FD1_L1_EDMI_1_D,2013-09-25,7561
1130211_FD1_L1_EDMI_1_D,2013-09-26,6797
1130211_FD1_L1_EDMI_1_D,2013-09-27,11333
1130211_FD1_L1_EDMI_1_D,2013-09-28,8895
1130211_FD1_L1_EDMI_1_D,2013-09-29,10328
1130211_FD1_L1_EDMI_1_D,2013-09-30,7333
1130211_FD1_L1_EDMI_1_D,2013-10-01,7633
1130211_FD1_L1_EDMI_1_D,2013-10-02,7172
1130211_FD1_L1_EDMI_1_D,2013-10-03,11976
1130211_FD1_L1_EDMI_1_D,2013-10-04,9590
1130211_FD1_L1_EDMI_1_D,2013-10-05,2714
1130211_FD1_L1_EDMI_1_D,2013-10-06,2412
1130211_FD1_L1_EDMI_1_D,2013-10-07,4457
1130211_FD1_L1_EDMI_1_D,2013-10-08,10061
1130211_FD1_L1_EDMI_1_D,2013-10-09,12155
1130211_FD1_L1_EDMI_1_D,2013-10-10,7119
1130211_FD1_L1_EDMI_1_D,2013-10-11,8027
1130211_FD1_L1_EDMI_1_D,2013-10-12,9694
1130211_FD1_L1_EDMI_1_D,2013-10-13,10544
1130211_FD1_L1_EDMI_1_D,2013-10-14,8169
1130211_FD1_L1_EDMI_1_D,2013-10-15,8913
1130211_FD1_L1_EDMI_1_D,2013-10-16,6764
1130211_FD1_L1_EDMI_1_D,2013-10-17,6407
1130211_FD1_L1_EDMI_1_D,2013-10-18,8314
1130211_FD1_L1_EDMI_1_D,2013-10-19,18043
1130211_FD1_L1_EDMI_1_D,2013-10-20,16186
1130211_FD1_L1_EDMI_1_D,2013-10-21,6441
1130211_FD1_L1_EDMI_1_D,2013-10-22,8499
1130211_FD1_L1_EDMI_1_D,2013-10-23,8641
1130211_FD1_L1_EDMI_1_D,2013-10-24,7308
1130211_FD1_L1_EDMI_1_D,2013-10-25,8964
1130211_FD1_L1_EDMI_1_D,2013-10-26,12316
1130211_FD1_L1_EDMI_1_D,2013-10-27,7073
1130211_FD1_L1_EDMI_1_D,2013-10-28,8143
1130211_FD1_L1_EDMI_1_D,2013-10-29,10150
1130211_FD1_L1_EDMI_1_D,2013-10-30,7574
1130211_FD1_L1_EDMI_1_D,2013-10-31,5750
1130211_FD1_L1_EDMI_1_D,2013-11-01,5896
1130211_FD1_L1_EDMI_1_D,2013-11-02,8678
1130211_FD1_L1_EDMI_1_D,2013-11-03,10215
1130211_FD1_L1_EDMI_1_D,2013-11-04,8817
